degree,polynomial_terms,coefficients_including_intercept,train_rmse,train_r_squared,train_adjusted_r_squared,test_rmse,test_r_squared_oos,test_r_squared_about_test_mean,minimum_test_prediction,maximum_test_prediction
1,1,2,2578.2087901240725,0.22460957637145912,0.22247351459837772,2342.8403737553645,0.25756335752194737,0.2572548864423063,10507.634927296096,15861.776115449236
2,2,3,880.0964475918178,0.9096465376240288,0.9091473472241616,707.7668307452209,0.9322429623339197,0.932214810320177,10950.751378782203,20585.588904956752
3,3,4,874.1815782414972,0.9108569346366655,0.9101161335394633,695.4641821586007,0.9345780424863107,0.9345508606626886,10966.378685435107,20150.585687517832
4,4,5,773.3064718814079,0.9302430388176609,0.9294679614711905,648.7653010560182,0.9430689457040878,0.9430452917210017,10578.904956571,19252.31491920862
5,5,6,740.107477109426,0.9361039741555817,0.9352140573610912,610.2331427955982,0.9496307387306052,0.9496098110722495,10556.004761778975,19205.845867913707
6,6,7,740.0200317266443,0.9361190721853362,0.9350484421102301,610.0827381952807,0.9496555647666747,0.9496346474231577,10544.313700681687,19196.360693955427
7,7,8,717.3896800021264,0.9399663825861971,0.9387892528329853,637.5540001625311,0.9450195931964024,0.944996749677541,10462.747795456213,20024.19318451763
8,8,9,715.8047359996143,0.9402313566056563,0.9388882410237609,640.9648434366263,0.9444297414132865,0.9444066528200229,10425.661468363069,20401.150740860478
9,9,10,715.6999470456758,0.9402488547720347,0.9387340370056919,641.9878042029937,0.9442522229196946,0.9442290605702095,10435.595456667788,20492.0198245231
10,10,11,715.6732441841916,0.9402533133354213,0.9385655538251224,642.839479384872,0.9441042123462342,0.9440809885006177,10432.043991256036,20466.37316631422
11,11,12,711.956253550013,0.9408723141821295,0.9390298083917709,658.1458817757106,0.9414106964982477,0.9413863535379564,10502.554404353885,20489.024880381312
12,12,13,711.2678226458354,0.9409866067271047,0.9389747865018923,663.4415203514436,0.9404640491423102,0.9404393128645084,10521.277724247308,20647.214904474895
13,13,14,703.9749013349989,0.9421905796557525,0.9400494900133729,635.2367825750837,0.9454185242432713,0.9453958464741637,10592.209026768256,19491.462204455922
14,14,15,702.8227749766543,0.9423796467799064,0.9400748326511026,632.9808083256263,0.9458055161743558,0.945782999194482,10627.235036261542,19064.80260904145
15,15,16,702.7867023542047,0.9423855613973059,0.9399092961278491,633.3294121315326,0.9457458062892758,0.9457232645008572,10630.770557342817,19049.878508448142
16,16,17,702.7421854855569,0.9423928601499857,0.9397442560189505,633.7996232734841,0.9456652150642388,0.9456426397913976,10636.501212881985,19065.140629529087
17,17,18,701.9796401585188,0.9425178113000485,0.9397016810179183,636.8580095794458,0.9451395672183107,0.9451167735468222,10606.040713921739,19031.82369093888
18,18,19,701.4543520274947,0.9426038064271459,0.9396178772817373,645.2277393699187,0.9436881157829985,0.9436647190556183,10590.952782271075,19022.004278165245
19,19,20,693.5826317872439,0.9438847784239341,0.9407943749168465,754.0751761051731,0.9230863737783148,0.9230544173419507,10481.04755397341,22131.27430746907
20,20,21,692.7229478565521,0.9440237999474718,0.9407693697118596,898.4820203949424,0.8908075072397408,0.8907621394275891,10467.235188134591,25131.953685515993
